No,UID,Tanggal,Waktu
832,0442438214,0,1:52:36
833,0439654406,0,1:52:40
834,0430946230,0,1:52:42
835,0431405094,0,1:52:44
836,0431234118,0,1:52:46
837,0430666694,0,1:52:48
838,0431933830,0,1:52:52
839,0441812422,0,1:52:54
840,0819141124,0,1:52:56
841,0819430516,0,1:52:58
842,0432013878,0,1:53:0
843,0819502564,0,1:53:3
844,0819941428,0,1:53:5
845,0818943988,0,1:53:8
846,0441700934,0,1:53:11
847,0819409524,0,1:53:13
848,0819685588,0,1:53:17
849,0819856612,0,1:53:20
850,0431037766,0,1:53:22
851,0819182628,0,1:53:25
852,0818791380,0,1:53:27
853,0818841076,0,1:53:29
854,0819782132,0,1:53:31
855,0818975396,0,1:53:33
856,0819558084,0,1:53:35
857,0818714484,0,1:53:37
858,0818729156,0,1:53:39
859,0819719332,0,1:53:41
860,0431241414,0,1:53:43
861,0430922022,0,1:53:45
862,0819111732,0,1:53:48
863,0818890868,0,1:53:50
864,0818692356,0,1:53:52
865,0431138806,0,1:53:57
866,0431103622,0,1:53:59
867,0430990006,0,1:54:1
868,0431355238,0,1:54:3
869,0819322756,0,1:54:5
870,0819871476,0,1:54:7
871,0431753046,0,1:54:9
872,0819585620,0,1:54:11
873,0819418516,0,1:54:13
874,0431747030,0,1:54:15
875,0819505076,0,1:54:18
876,0430884886,0,1:54:20
877,0819832964,0,1:54:23
878,0431287590,0,1:54:25
879,0818868836,0,1:54:27
880,0819801620,0,1:54:29
881,0430766038,0,1:54:31
882,0431101910,0,1:54:33
883,0431111398,0,1:54:35
884,0819189092,0,1:54:37
885,0819113524,0,1:54:39
886,0818630980,0,1:54:41
887,0431012886,0,1:54:43
888,0430851702,0,1:54:47
889,0431532038,0,1:54:49
890,0431931814,0,1:54:56
891,0431561702,0,1:54:58
892,0431181014,0,1:55:0
893,0431375766,0,1:55:2
894,0819928852,0,1:55:4
895,0818833620,0,1:55:6
896,0819150452,0,1:55:8
897,0818882116,0,1:55:11
898,0818849172,0,1:55:14
899,0819773412,0,1:55:17
900,0818627540,0,1:55:19
901,0431396822,0,1:56:42
902,0431991958,0,1:56:44
903,0819714276,0,1:56:48
904,0818719524,0,1:56:51
905,0818966772,0,1:56:53
906,0819323892,0,1:56:55
907,0442047798,0,1:56:57
908,0442484438,0,1:56:59
909,0819106132,0,1:57:1
910,0430935350,0,1:57:3
911,0818663492,0,1:57:6
912,0819000852,0,1:57:8
913,0818842932,0,1:57:10
914,0818884228,0,1:57:12
915,0818996004,0,1:57:14
916,0431845750,0,1:57:17
917,0431946694,0,1:57:19
918,0430691478,0,1:57:21
919,0431476118,0,1:57:24
920,0430826022,0,1:57:26
921,0431587654,0,1:57:28
922,0431000614,0,1:57:31
923,0439138742,0,1:57:33
924,0431819958,0,1:57:35
925,0431354454,0,1:57:37
926,0811963268,0,1:57:39
